time,wimg_val,wimg_stdev,pwimg_val,pwimg_stdev
745,0.00109401951369668,0,8.94173440884242e-14,1
755,0.00127508979451012,0,9.26482380043604e-14,1
765,0.00129955709594262,0,8.54746771398325e-14,0
775,0.00138458239806905,1,8.7639369697358e-14,1
785,0.00104238642706613,0,8.35504308841321e-14,0
795,0.00109751413239764,0,7.79683145370564e-14,0
805,0.00108256323444006,0,7.17457776755202e-14,0
815,0.000789075522708402,-1,6.95528304977447e-14,0
825,0.000710002150899963,-1,6.56536391049905e-14,0
835,0.000772642473126768,-1,6.24870350374184e-14,0
845,0.000991047467523872,0,6.38910121092768e-14,0
855,0.000936847578966424,-1,6.12425827948543e-14,0
865,0.000545802974768127,-2,5.66795359498427e-14,0
875,0.000781227726835113,-1,4.95599305899536e-14,-1
885,0.000691731202212259,-1,4.98426821184392e-14,-1
895,0.000944655360002008,-1,4.97626569536188e-14,-1
905,0.00100125175101585,0,4.75396260246075e-14,-1
915,0.000865278764911899,-1,4.06321304088764e-14,-1
925,0.00122954178384773,0,3.3592801248368e-14,-1
935,0.00116040552495662,0,3.13010293469708e-14,-1
945,0.000757027790714908,-1,3.18457754878315e-14,-1
955,0.000895425953423041,-1,3.32109729932113e-14,-1
965,0.000777887284827304,-1,2.65671981279683e-14,-1
975,0.000504283580524661,-2,2.78086143566014e-14,-1
985,0.000495108845296687,-2,2.82435150014146e-14,-1
995,0.000415245168764797,-2,2.63022596153816e-14,-1
1005,0.000429164135828073,-2,3.05822919768034e-14,-1
1015,0.000884869698942727,-1,3.00068651108461e-14,-1
1025,0.000831088411367604,-1,3.09312567147965e-14,-1
1035,0.000506742916588352,-2,3.06021999413694e-14,-1
1045,0.000627367973603231,-1,2.84226227097666e-14,-1
1055,0.000727586274890123,-1,2.91953757533901e-14,-1
1065,0.000536361484445779,-2,2.9511134022623e-14,-1
1075,0.000685180394109027,-1,3.04858909161013e-14,-1
1085,0.000744185696698611,-1,3.4207458652302e-14,-1
1095,0.000616846421909336,-1,2.83116501411423e-14,-1
1105,0.000747569748436087,-1,2.4034466865613e-14,-1
1115,0.00109613585055646,0,2.37991506335169e-14,-1
1125,0.000749338098755377,-1,2.5852791504988e-14,-1
1135,0.000956894132458936,-1,2.91352482683235e-14,-1
1145,0.000533844052060052,-2,2.72448564292452e-14,-1
1155,0.00063831682002611,-1,2.72702553269457e-14,-1
1165,0.000641297148080102,-1,2.95277191035507e-14,-1
1175,0.00075992890935665,-1,3.29782459353468e-14,-1
1185,0.000750676154269478,-1,3.17906434238676e-14,-1
1195,0.000778986900956656,-1,3.10565216276892e-14,-1
1205,0.000774115472241097,-1,3.01955981470743e-14,-1
1215,0.000462613108947564,-2,2.74919958894652e-14,-1
1225,0.000671327291071017,-1,2.94381487459338e-14,-1
1235,0.000802512410778342,-1,3.31267526314664e-14,-1
1245,0.000946275035826839,-1,3.39497668373082e-14,-1
1255,0.00112219728631021,0,3.52226178337181e-14,-1
1265,0.00131795249995216,0,3.31020770313458e-14,-1
1275,0.000929778955319517,-1,2.84319856825617e-14,-1
1285,0.00100510896821925,0,2.87807590640402e-14,-1
1295,0.000970446821230362,-1,3.05553402388195e-14,-1
1305,0.000600983387220552,-1,2.79624010392138e-14,-1
1315,0.000418126532557121,-2,2.47940708189197e-14,-1
1325,0.000531990569826395,-2,2.51667218358304e-14,-1
1335,0.000422576973214584,-2,2.64687805645955e-14,-1
1345,0.000393020738831101,-2,2.89179743729278e-14,-1
1355,0.000388921496259664,-2,2.707060838873e-14,-1
1365,0.000487249088287674,-2,2.64296019272503e-14,-1
1375,0.000748592276816632,-1,2.87297731497484e-14,-1
1385,0.000547365699048357,-2,3.1031242448828e-14,-1
1395,0.000514244780874161,-2,2.72929352934699e-14,-1
1405,0.000457739775824951,-2,2.73634904971846e-14,-1
1415,0.000540968419719457,-2,2.74165222585575e-14,-1
1425,0.000534700719718846,-2,2.92346618204152e-14,-1
1435,0.000398043798585242,-2,2.77421932762667e-14,-1
1445,0.000540180803162123,-2,2.52278562921332e-14,-1
1455,0.000758087360775843,-1,2.51673301238268e-14,-1
1465,0.000733813360444716,-1,2.18252803044874e-14,-2
1475,0.000822809234483045,-1,2.46913437837252e-14,-1
1485,0.00115849875131151,0,2.81800972727409e-14,-1
1495,0.0011602719536078,0,2.5789710301853e-14,-1
